Tiêu đề,Hãng,Dòng xe,Năm sản xuất,Số Km đã đi,Tình trạng,Hộp số,Nhiên liệu,Xuất xứ,Giá,Kiểu Dáng,Số Chỗ,Dung tich
HYUNDAI GRAND i10 1.2AT SX 2017 TƯ NHÂN 1 CHỦ,Hyundai,grandi10,2017,68000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,290.000.000 đ,Sedan,5 ,1.2
GX470 chót 2009 mới nhất Việt Nam,Lexus,gx,2009,15000.0,Đã sử dụng,Tự động,Xăng,,999.000.000 đ,SUV,7 ,4.7
Kia Sedona Full xăng 2019 Siêu Đẹp,Kia,sedona,2019,50000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,879.000.000 đ,Van/Minivan,7 ,2.2
"Bán xe Hyundai Veloster 2011 Trắng, mới 90%",Hyundai,veloster,2011,78000.0,Đã sử dụng,Tự động,Xăng,Hàn Quốc,340.000.000 đ,Hatchback,5 ,1.6
HONDA JAZZ 2018 THÁI LAN-SIÊU LƯỚT,Honda,jazz,2018,19000.0,Đã sử dụng,Tự động,Xăng,Thái Lan,395.000.000 đ,Hatchback,5 ,1.5
GLC 300 4Matic siêu lướt giá cực tốt,Mercedes Benz,glcclass,2022,8999.0,Đã sử dụng,Tự động,Xăng,Việt Nam,2.109.000.000 đ,,,0
Ford Everest 2.0 1 cầu,Ford,everest,2019,65000.0,Đã sử dụng,Tự động,Dầu,,860.000.000 đ,SUV,7 ,2.5
"Kia K3 2.0Premium 2022 Siêu Lướt 15,000km Mới 99%",Kia,k3,2022,15000.0,Đã sử dụng,Tự động,Xăng,,589.000.000 đ,Sedan,5 ,1.6
Bán xe sonata = tiền i10,Hyundai,sonata,2010,85000.0,Đã sử dụng,Tự động,Xăng,Hàn Quốc,283.000.000 đ,Sedan,5 ,2.0
"TRẢ TRƯỚC 500TR,KIA CARNIVAL SIGNATURE 3.5 AT 2022",Kia,carnival,2022,13000.0,Đã sử dụng,Tự động,Xăng,Đang cập nhật,1.550.000.000 đ,Van/Minivan,8 ,2.2
Hilux 2009 nồi đồng cối đá chạy đường xa,Toyota,hilux,2009,160000.0,Đã sử dụng,Số sàn,Dầu,Việt Nam,288.000.000 đ,Bán tải / Pickup,5 ,2.4
"Bán xe đã qua sử dụng , 1 chủ từ đầu.",Lexus,rx,2021,62000.0,Đã sử dụng,Tự động,Xăng,Nhật Bản,2.850.000.000 đ,SUV,7 ,3.5
Lexus ES250 Mode 2020 lướt nhẹ TP.HCM,Lexus,es,2020,27000.0,Đã sử dụng,Tự động,Xăng,Nhật Bản,1.788.000.000 đ,Sedan,5 ,2.5
Peugeot 3008 AL 2019 rất mới,Peugeot,3008,2019,54000.0,Đã sử dụng,Tự động,Xăng,Nước khác,695.000.000 đ,Crossover,5 ,1.6
🟢Bán Ford Ranger Wildtrak Biturbo 2020 Cam,Ford,ranger,2020,25000.0,Đã sử dụng,Tự động,Dầu,Thái Lan,724.000.000 đ,Bán tải / Pickup,5 ,2.0
"Accent Bản Đặc Biệt 2021 Siêu Lướt 16,000km BSTP",Hyundai,accent,2021,16700.0,Đã sử dụng,Tự động,Xăng,,470.000.000 đ,Sedan,5 ,1.4
VINFAST LUX A2.0 PREMIUM 2021 BIỂN TỈNH SIÊU LƯỚT,Vinfast,1083,2021,29000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,665.000.000 đ,,,0
Toyota Fortuner 2.7V 4x2 AT 2017 một chủ từ đầu,Toyota,fortuner,2017,170000.0,Đã sử dụng,Tự động,Xăng,,690.000.000 đ,SUV,7 ,2.4
"CẶP CIVIC RS 2021, CHỈ 4.000KM,FULL ĐỒ CHƠI",Honda,civic,2021,4000.0,Đã sử dụng,Tự động,Xăng,Thái Lan,735.000.000 đ,Sedan,5 ,1.5
Chevrolet Spark 2018,Chevrolet,spark,2018,500.0,Đã sử dụng,Số sàn,Xăng,Hàn Quốc,165.000.000 đ,Hatchback,5 ,0.8
BMW X1 xDrive28i SX 2010 nhập đức bản full 2 cầu,BMW,x1,2010,11000.0,Đã sử dụng,Tự động,Xăng,Đức,295.000.000 đ,SUV,5 ,1.5
Kia Sedona DATH Full dầu 2020 cực đẹp,Kia,sedona,2020,40000.0,Đã sử dụng,Tự động,Dầu,Việt Nam,950.000.000 đ,Van/Minivan,7 ,2.2
Xe chính chủ,Kia,morning,2016,120000.0,Đã sử dụng,Số sàn,Xăng,Đang cập nhật,175.000.000 đ,Hatchback,5 ,1.2
"Outlander 2.0CVT 2022 Lướt 20,000km Đẹp Nguyên Zin",Mitsubishi,outlander,2022,20100.0,Đã sử dụng,Tự động,Xăng,,725.000.000 đ,SUV,7 ,2.0
Cerato 2019 số sàn,Kia,cerato,2019,82000.0,Đã sử dụng,Số sàn,Xăng,Hàn Quốc,399.000.000 đ,Sedan,5 ,1.6
cần bán gấp,Toyota,innova,2018,150000.0,Đã sử dụng,Tự động,Xăng,Nhật Bản,560.000.000 đ,Crossover,8 ,2.0
Bán xe nisan teanna sập gía,Nissan,teana,2010,15000.0,Đã sử dụng,Tự động,Xăng,Đài Loan,252.000.000 đ,Sedan,5 ,2.0
Tucson 1.6 turbo đen giao ngay,Hyundai,tucson,2023,,Mới,Tự động,Xăng,Hàn Quốc,899.000.000 đ,Crossover,5 ,2.0
"Kia K3 2.0 Premium 2022 bản Full siêu lướt 3,000km",Kia,k3,2023,3000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,599.000.000 đ,Sedan,5 ,1.6
Hyundai I20 1.4 AT,Hyundai,i20,2011,78689.0,Đã sử dụng,Tự động,Xăng,Việt Nam,240.000.000 đ,Hatchback,5 ,1.4
Hyundai I20 1.4 AT,Hyundai,i20,2011,78689.0,Đã sử dụng,Tự động,Xăng,Việt Nam,240.000.000 đ,Hatchback,5 ,1.4
MAZDA 6 2019 2.0L CỰC ĐẸP - CỰC MỚI,Mazda,6,2019,68000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,599.000.000 đ,Sedan,5 ,2.0
Mercedes -Benz S450 4Matic siêu lướt .,Mercedes Benz,sclass,2022,10999.0,Đã sử dụng,Tự động,Xăng,Thái Lan,4.309.000.000 đ,,,0
Honda Accord 2.4 2011 một chủ từ mới,Honda,accord,2011,13000.0,Đã sử dụng,Tự động,Xăng,,355.000.000 đ,Sedan,5 ,2.4
Hãng bán FORD RANGER XLT LIMITED 2 cầu SỐ TỰ ĐỘNG,Ford,ranger,2022,19000.0,Đã sử dụng,Tự động,Dầu,Việt Nam,640.000.000 đ,Bán tải / Pickup,5 ,2.0
"KIA CARNIVAL LUXURY 2.2D 2021, ODO 19K KM",Kia,carnival,2021,19000.0,Đã sử dụng,Tự động,Dầu,Việt Nam,1.099.000.000 đ,Van/Minivan,8 ,2.2
"Toyota wigo 1.2 AT, trắng, sx: 12/20, odo 21.800km",Toyota,wigo,2021,21800.0,Đã sử dụng,Tự động,Xăng,Nước khác,340.000.000 đ,Hatchback,5 ,1.2
Vinfast Lux A2.0 Plus Mode 2022 bảo dưỡng miễn phí,Vinfast,luxa2.0,2022,28000.0,Đã sử dụng,Tự động,Xăng,Đức,595.000.000 đ,,,0
🟢Ford Ecosport 1.5 Titanium Cực Đẹp,Ford,ecosport,2018,53000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,425.000.000 đ,SUV,5 ,1.5
"Peugeot 3008 Full 2021 Odo 52,000km Chỉnh Chủ BSTP",Peugeot,3008,2021,52293.0,Đã sử dụng,Tự động,Xăng,,790.000.000 đ,Crossover,5 ,1.6
✅VINFAST LUX SA2.0 PLUS 2021 BIỂN TP XE CHẤT,Vinfast,1083,2021,49000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,775.000.000 đ,,,0
Nissan Navara EL 2.5 AT 2WD 2017 một chủ từ đầu,Nissan,navara,2017,116850.0,Đã sử dụng,Tự động,Dầu,,415.000.000 đ,Bán tải / Pickup,5 ,2.5
Mercedes Benz C200 Exclusive 2021- BH đến 2024,Mercedes Benz,cclass,2021,1.0,Đã sử dụng,Tự động,Xăng,,1.149.000.000 đ,Sedan,5 ,3.0
Mercedes C200 Sản Xuất 2016 Trắng Nội Thất Kem,Mercedes Benz,cclass,2016,73000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,739.000.000 đ,Sedan,5 ,3.0
Hãng Ford bán Transit 2022 lướt 1 chủ lên đủ đồ kd,Ford,transit,2022,53000.0,Đã sử dụng,Số sàn,Dầu,Việt Nam,735.000.000 đ,Van/Minivan,16 ,2.2
Mitsubishi Pajero Sport 2016 bản kịch kim,Mitsubishi,pajerosport,2016,5000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,740.000.000 đ,SUV,7 ,2.4
KIA RIO 1.4AT NHẬP KHẨU SX 2015 ODO 4 VẠN XỊN,Kia,rio,2015,41000.0,Đã sử dụng,Tự động,Xăng,Hàn Quốc,340.000.000 đ,Sedan,5 ,1.4
Mercedes C300 AMG model 2020 siêu đẹp,Mercedes Benz,cclass,2021,30000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,1.239.000.000 đ,Sedan,5 ,3.0
I10 1.2 AT 2021 sedan,Hyundai,grandi10,2021,17999.0,Đã sử dụng,Tự động,Xăng,Việt Nam,370.000.000 đ,Sedan,5 ,1.2
Hãng Ford bán Tourneo 2019 Odo 46.000km có hoa đơn,Ford,tourneo,2019,46000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,622.000.000 đ,Van/Minivan,7 ,2.0
Mercedes Benz  GLB 35 4Matic 2022 siêu lướt,Mercedes Benz,glb,2022,33.0,Đã sử dụng,Tự động,Xăng,Nước khác,2.589.000.000 đ,SUV,7 ,2.0
"Mazda CX5 2.5 2016 máy 2.5, một cầu, odo 12.6 vạn",Mazda,cx5,2016,12600.0,Đã sử dụng,Tự động,Xăng,,495.000.000 đ,SUV,5 ,2.0
✅VINFAST LUX A 2.0 2021 XE BAO CHECK TEST,Vinfast,luxa2.0,2021,47000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,585.000.000 đ,,,0
✅VINFAST LUX A2.0 BASE 2020 BIỂN HN XE CHẤT,Vinfast,luxa2.0,2020,50000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,570.000.000 đ,,,0
Kia Rondo 2.0 GAT Deluxe 2020,Kia,rondo,2020,28000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,525.000.000 đ,SUV,7 ,2.0
KIA K5 2.5 GTLINE 2023 ✨ƯU ĐÃI 50% LPTB 🎁 PHỤ KIỆN,Kia,k5,2023,,Mới,Tự động,Xăng,Việt Nam,999.000.000 đ,Sedan,5 ,2.0
CHỈ VỚI 350TR SỞ HỮU MERCEDES C180 AMG ODO 29K KM,Mercedes Benz,cclass,2021,29000.0,Đã sử dụng,Tự động,Xăng,,1.038.000.000 đ,Sedan,5 ,3.0
KIA CARENS 1.5 IVT 2023 ✨ Ưu đãi 50% Phí trước bạ,Kia,carens,2023,,Mới,Tự động,Xăng,Việt Nam,629.000.000 đ,Crossover,7 ,2.0
Huynhdai Genesis 2009 - độ full ngầu,Hyundai,genesis,2009,112000.0,Đã sử dụng,Tự động,Xăng,Hàn Quốc,366.000.000 đ,Coupe,4 ,2.0
"VINFAST LUX A2.0 2022 odo 1,9 vạn - 350TR NHẬN XE",Vinfast,luxa2.0,2021,19000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,588.000.000 đ,,,0
"Chính chủ - Honda City Top 2017- Odo 57,000km BSTP",Honda,city,2017,57000.0,Đã sử dụng,Tự động,Xăng,,390.000.000 đ,Sedan,5 ,1.5
✅VINFAST LUX A2.0 PREMIUM 2020 BIỂN TP,Vinfast,1083,2020,60000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,635.000.000 đ,,,0
"Cần bán Morning 2017 bản full, bản cao nhất 215tr",Kia,morning,2017,90000.0,Đã sử dụng,Số sàn,Xăng,Đang cập nhật,215.000.000 đ,Hatchback,5 ,1.2
Mercedes Benz C250 Exclusive model 2017 đẳng cấp,Mercedes Benz,cclass,2017,48000.0,Đã sử dụng,Tự động,Xăng,,779.000.000 đ,Sedan,5 ,3.0
BMW 320 2012 model 2013 Full đồ chơi,BMW,3series,2012,75000.0,Đã sử dụng,Tự động,Xăng,Đức,550.000.000 đ,Sedan,5 ,2.0
Mercedes C200 Exclusive Model 2021 Lướt 19.000 Km,Mercedes Benz,cclass,2020,19000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,1.199.000.000 đ,Sedan,5 ,3.0
Chỉ 350TR nhận xe Mercedes Benz C300 AMG 2017,Mercedes Benz,cclass,2017,53000.0,Đã sử dụng,Tự động,Xăng,Đức,968.000.000 đ,Sedan,5 ,3.0
Hãng Ford bán Everest 4x4 Bi Turbo siêu lướt 1 chủ,Ford,everest,2018,24000.0,Đã sử dụng,Tự động,Xăng,Thái Lan,913.000.000 đ,SUV,7 ,2.5
Kia Morning 2010,Kia,morning,2010,50000.0,Đã sử dụng,Tự động,Xăng,,185.000.000 đ,Hatchback,5 ,1.2
Kia Morning 2010,Kia,morning,2010,50000.0,Đã sử dụng,Tự động,Xăng,,185.000.000 đ,Hatchback,5 ,1.2
